customer_id,age,gender,city,membership_level,join_date,lifetime_value
5000,23,Male,Bangalore,Platinum,08-07-2022,4009
5001,22,Male,Delhi,Silver,28-08-2022,9202
5002,62,Female,Bangalore,Platinum,17-09-2021,1511
5003,46,Female,Delhi,Silver,08-10-2021,2094
5004,29,Male,Delhi,Silver,22-12-2021,6438
5005,56,Male,Delhi,Gold,24-02-2022,4500
5006,64,Male,Hyderabad,Silver,11-07-2021,7988
5007,20,Female,Kolkata,Silver,29-09-2022,7177
5008,18,Male,Delhi,Platinum,04-03-2022,6373
5009,44,Female,Mumbai,Gold,19-03-2023,6609
5010,41,Male,Mumbai,Platinum,14-12-2021,2270
5011,61,Male,Mumbai,Silver,05-03-2022,2856
5012,36,Female,Hyderabad,Platinum,27-01-2022,4334
5013,25,Male,Chennai,Gold,07-12-2021,4468
5014,61,Male,Delhi,Platinum,01-07-2022,6210
5015,64,Male,Mumbai,Silver,29-07-2023,3684
5016,19,Female,Hyderabad,Platinum,06-02-2022,613
5017,47,Male,Chennai,Silver,16-02-2021,8041
5018,47,Male,Mumbai,Gold,27-10-2022,9083
5019,56,Female,Bangalore,Gold,20-01-2023,6348
5020,62,Female,Kolkata,Platinum,01-03-2022,4509
5021,49,Male,Delhi,Gold,01-06-2022,5991
5022,18,Male,Kolkata,Platinum,18-08-2023,1119
5023,55,Female,Kolkata,Silver,16-08-2023,1106
5024,30,Male,Bangalore,Platinum,29-09-2022,3410
5025,28,Male,Bangalore,Silver,29-05-2023,2919
5026,27,Female,Bangalore,Gold,24-11-2021,5095
5027,43,Male,Chennai,Silver,28-03-2021,992
5028,37,Male,Mumbai,Silver,30-05-2022,8967
5029,34,Female,Delhi,Silver,14-06-2021,5743
5030,34,Male,Bangalore,Silver,11-08-2021,3925
5031,21,Male,Hyderabad,Silver,11-05-2023,8391
5032,22,Male,Delhi,Platinum,24-10-2021,5361
5033,40,Female,Delhi,Silver,05-07-2023,1560
5034,63,Male,Delhi,Silver,27-03-2022,2248
5035,27,Female,Bangalore,Silver,09-12-2021,6452
5036,63,Female,Bangalore,Silver,25-07-2023,6298
5037,45,Male,Mumbai,Silver,07-12-2021,3396
5038,50,Female,Bangalore,Silver,06-04-2022,9479
5039,60,Male,Bangalore,Gold,27-01-2022,405
5040,43,Male,Delhi,Platinum,20-06-2023,3515
5041,46,Male,Mumbai,Silver,21-06-2022,6933
5042,44,Female,Kolkata,Platinum,05-07-2022,9014
5043,35,Male,Bangalore,Gold,25-02-2022,1877
5044,57,Male,Hyderabad,Gold,16-01-2022,3212
5045,27,Male,Bangalore,Silver,09-09-2022,7747
5046,59,Female,Kolkata,Platinum,05-01-2021,2071
5047,22,Female,Delhi,Silver,10-10-2022,8470
5048,27,Male,Mumbai,Gold,04-01-2021,6758
5049,38,Male,Delhi,Gold,12-11-2022,9868
5050,41,Male,Chennai,Platinum,12-11-2021,4934
5051,55,Male,Bangalore,Silver,02-04-2023,5989
5052,20,Female,Hyderabad,Platinum,07-07-2023,7134
5053,57,Female,Chennai,Platinum,19-03-2021,3428
5054,48,Female,Bangalore,Gold,15-06-2022,2535
5055,58,Female,Chennai,Platinum,18-12-2022,1925
5056,54,Female,Kolkata,Gold,21-12-2021,5937
5057,19,Female,Bangalore,Silver,16-04-2023,9506
5058,19,Female,Hyderabad,Platinum,02-02-2021,6185
5059,56,Male,Bangalore,Platinum,24-10-2022,7416
5060,59,Male,Chennai,Silver,06-12-2022,360
5061,61,Male,Mumbai,Platinum,19-05-2021,1625
5062,51,Male,Chennai,Silver,29-09-2021,1933
5063,59,Male,Bangalore,Gold,15-07-2021,2722
5064,37,Male,Bangalore,Gold,07-05-2021,7366
5065,50,Female,Mumbai,Platinum,15-12-2021,801
5066,21,Male,Delhi,Gold,13-01-2023,9947
